Codigos ;Municipios;V01;V02;V03;V04;V05;V06;V07;V08;V09;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;TD;TDC;TH;THC;TL;TLC
5217104;Piracanjuba ;2.82;90.93922652;9.046961326;59.60434556;40.39565444;32.62014327;22.90905641;7.410218701;4.990749087;4.919588215;27.14550026;49.75859486;3.937401149;1.265295929;44.80146508;0.241405144;23.679;26.68715282;4.916676516;67.72249143;82.90982153;17.09017847;66.20966789;27.37265099;6.417681125;90.8;9.2;709.1555427;4 - Muito Alta ;57.45607483;5 - Hiperendêmica ;0;1 - Baixa
5218052;Porteirão ;3.09;88.6618999;11.3381001;62.57183908;37.42816092;23.52729885;22.0545977;13.36206897;8.081896552;4.63362069;28.34051724;38.12369286;3.167015238;0.179265013;58.55990439;0;151.006;2.808988764;2.153558052;94.75655431;87.64044944;12.35955056;81.17977528;16.01123596;2.808988764;88.5;11.5;1165.883226;5 - Hiperendêmica ;64.69966007;5 - Hiperendêmica ;0;1 - Baixa
5217401;Pires do Rio ;3.06;86.13964224;13.84881708;59.15756755;40.84243245;27.86721926;24.9262772;7.312504981;5.642783135;5.10480593;29.1464095;56.11223142;5.628954871;0.086920242;38.06411237;0.11125791;9.818;22.50453721;20.0384328;57.20081136;94.11764706;5.882352941;92.78317498;6.725739298;0.491085726;93;7;1219.139383;5 - Hiperendêmica ;104.7943411;5 - Hiperendêmica ;0;1 - Baixa
5203401;Bom Jardim de Goiás ;2.94;90.69949199;9.300508011;50.81356867;49.18643133;37.01916448;20.40534951;5.335723149;3.184889011;3.157314214;30.89755963;37.97934228;2.991808144;1.911432981;56.99869405;0.106850291;11.448;0.707213579;0.99009901;97.9844413;74.89391796;25.10608204;68.88260255;21.42857143;9.688826025;85.1;14.9;1434.410525;5 - Hiperendêmica ;50.03693202;5 - Hiperendêmica ;0;1 - Baixa
5207352;Edealina ;2.73;94.7826087;5.130434783;62.82803334;37.17196666;36.30750232;22.19820932;5.804260574;4.137079345;5.402902131;26.15004631;49.71872489;2.705598714;0.776855076;46.82560943;0;64.663;0.513950073;5.873715125;93.31864905;68.57562408;31.42437592;63.50954479;34.5814978;1.908957416;89.3;10.7;1763.684009;5 - Hiperendêmica ;54.99099001;5 - Hiperendêmica ;0;1 - Baixa
5208707;Goiânia ;3.07;86.50641357;13.49358643;66.21445668;33.78554332;19.37209592;23.34680497;9.68162523;8.577534469;12.49890537;26.52303403;47.73898023;5.669811314;1.675113921;44.75134812;0.148079763;11.067;69.8050673;7.955099241;22.17193821;99.80790613;0.192093871;92.96846538;6.548934258;0.482600364;96.9;3.1;2694.96773;5 - Hiperendêmica ;64.00089045;5 - Hiperendêmica ;0;1 - Baixa
5213772;Montividiu do Norte ;3.21;93.06666667;6.844444444;39.34667451;60.65332549;37.56987349;11.12091792;2.177110915;2.088849662;1.58870256;45.42512504;30.83454634;8.515283843;1.310043668;59.36438622;0;52.571;0.807754443;43.94184168;52.26171244;43.69951535;56.30048465;43.69951535;47.98061389;8.319870759;84.7;15.3;265.354493;2 - Média;141.0641299;5 - Hiperendêmica ;0.16241597;1 - Baixa
5209705;Hidrolândia ;3.18;87.48288676;12.51711324;62.21542644;37.78457356;30.50835939;25.66263423;6.701100992;5.450591274;4.295229033;27.38208509;45.80411542;5.931716289;2.253132544;45.98229682;0.034486723;155.131;0.644329897;13.8622975;85.01472754;75.34977909;24.65022091;54.93372607;42.87555228;2.190721649;93.5;6.5;1310.502494;5 - Hiperendêmica ;49.7914981;5 - Hiperendêmica ;0.428831178;1 - Baixa
5215900;Palminópolis ;3.2;94.73222125;5.267778753;52.43944046;47.56055954;32.07096554;20.26612078;5.151825316;4.912998976;5.970658478;31.66154896;81.91519236;2.106149958;0.47739399;14.9396237;0.224655996;33.103;0.541516245;26.89530686;69.31407942;64.62093863;35.37906137;63.80866426;35.64981949;0.541516245;86.72;13.28;64.94711449;1 - Baixa;104.6901173;5 - Hiperendêmica ;0.431987835;1 - Baixa
5215652;Palestina de Goiás ;2.96;91.7794971;8.220502901;53.8253216;46.1746784;37.81313473;20.31144211;5.619498984;3.249830738;1.354096141;31.65199729;44.76416494;7.327202611;6.466923761;41.44170869;0;41.975;1.077199282;4.308797127;94.61400359;64.90125673;35.09874327;60.14362657;32.76481149;7.091561939;91.4;8.6;1846.193432;5 - Hiperendêmica ;73.78372147;5 - Hiperendêmica ;0.778858661;1 - Baixa
5222203;Vila Boa ;4.16;88.68832732;11.31167268;55.83570557;44.16429443;29.48352989;17.40544937;4.554697031;3.090687271;3.741358276;41.72427816;23.63857621;7.636142379;0.243383024;67.23456039;0.182537268;92.302;0.127388535;7.261146497;76.81528662;67.00636943;32.99363057;85.98726115;9.171974522;4.840764331;72.43;27.57;49.87677503;1 - Baixa;54.35188047;5 - Hiperendêmica ;0.825470725;1 - Baixa
5208608;Goianésia ;3.28;83.79169777;16.20830223;64.02710476;35.97289524;31.47973053;22.98585668;8.489934208;5.686877044;4.757120908;26.60442028;37.28358159;6.485415372;1.195653999;54.90604376;0.129305278;42.602;51.1572536;4.46290144;44.04761905;94.13621262;5.863787375;72.80177187;25.47619048;1.722037652;90.9;9.1;1175.009157;5 - Hiperendêmica ;96.56601818;5 - Hiperendêmica ;0.833920552;1 - Baixa
5213756;Montividiu ;3.58;91.11405836;8.885941645;60.53189754;39.46810246;18.25746451;17.45798662;9.218469571;6.950562898;9.267417197;38.86441508;69.20889349;5.687693899;0.064632885;24.67683557;0.155118925;112.362;0.327102804;3.411214953;89.6728972;68.87850467;31.12149533;65.23364486;27.05607477;7.710280374;83.8;16.2;48.28704793;1 - Baixa;7.793321124;2 - Média;0.869836139;1 - Baixa
